tt,stla,stlo,evla,evlo,dist,evtname,staname,period,weight,vel
19.1877238077,19.51702,-154.861137,19.427078,-155.267682,43.8295996762,SBL,ERZ4,2.5,1,2.2842521664091944
24.2876716659,19.379447,-155.169297,19.504323,-155.702741,57.6978323403,TOUO,KNHD,2.5,1,2.375601627607146
23.5874335718,19.8868,-155.34,19.451827,-155.602737,55.4766865505,SWRD,KKUD,2.5,1,2.3519594186298103
7.38735898397,19.371567,-155.263462,19.39296,-155.109605,16.3351283045,NPOC,AHUD,2.5,1,2.211227089403124
9.28759574845,19.371567,-155.263462,19.402438,-155.07508,20.0817120948,KUPD,AHUD,2.5,1,2.1622078133785507
12.4870980264,19.450382,-155.524977,19.390003,-155.293995,25.1627727096,SDH,ELEP,2.5,1,2.0151017199033205
8.78726993188,19.33566,-155.301105,19.38486,-155.12543,19.2437695756,STCD,MITD,2.5,1,2.189959990392929
9.5875936407,19.296253,-155.30748,19.248378,-155.498982,20.8164892184,WOOD,HLPD,2.5,1,2.1711901858285443
9.68726414452,19.237503,-155.397507,19.386532,-155.281715,20.4995955081,OTLD,HTCD,2.5,1,2.11613879855815
12.8877345061,19.33566,-155.301105,19.155413,-155.462112,26.1657751039,PPLD,MITD,2.5,1,2.0302850816421816
10.5876397805,19.333395,-155.38565,19.379447,-155.169297,23.2959093236,KNHD,DESD,2.5,1,2.200292964868876
15.2874517645,19.460442,-154.950189,19.7033,-155.080597,30.1656838,HILB,KIND,2.5,1,1.9732316585325047
13.2875,19.391443,-155.324317,19.451827,-155.602737,29.9950487284,SWRD,CPKD,2.5,1,2.2573884273490123
22.2873893849,19.2633,-155.869,19.493172,-155.386023,56.7609095903,MLOD,KAAD,2.5,1,2.546772464466218
6.48745945184,19.296253,-155.30748,19.398242,-155.266032,12.1006486928,KKO,HLPD,2.5,1,1.8652368901308447
14.2871315749,19.451827,-155.602737,19.406623,-155.300005,32.1840219341,WRM,SWRD,2.5,1,2.2526580486346
15.3873603418,19.450382,-155.524977,19.373785,-155.2155,33.5921144166,PAUD,ELEP,2.5,1,2.1830979239074884
6.8875,19.296253,-155.30748,19.373785,-155.2155,12.9257667368,PAUD,HLPD,2.5,1,1.8766993447259528
18.0875307028,19.504323,-155.702741,19.7573,-155.5326,33.2073257279,POHA,TOUO,2.5,1,1.835923668826692
8.18762676265,19.296253,-155.30748,19.379447,-155.169297,17.1941633744,KNHD,HLPD,2.5,1,2.1000179750297936
12.8874080319,19.427078,-155.267682,19.412033,-155.54704,29.3868871222,TRAD,SBL,2.5,1,2.280279094869899
11.8874143295,19.423037,-155.26094,19.237503,-155.397507,25.0549381804,HTCD,HAT,2.5,1,2.1076861196150336
17.0873928424,19.427078,-155.267682,19.466578,-155.58107,33.1973938984,WILD,SBL,2.5,1,1.942800414585499
